iter	Passed	Remaining
0	2649	5296772
1	5122	5117847
2	7503	4994836
3	10034	5007154
4	12459	4971407
5	14982	4979207
6	17422	4960569
7	19927	4962024
8	22419	4959648
9	24972	4969480
10	27472	4967448
11	30206	5004286
12	32714	5000231
13	35230	4997727
14	37715	4991022
15	40562	5029763
16	43316	5052741
17	45893	5053427
18	48544	5061363
19	51156	5064496
20	53723	5062823
21	56772	5104342
22	59386	5104617
23	62060	5109661
24	64963	5132110
25	67766	5145065
26	70936	5183638
27	73832	5199938
28	76215	5180054
29	78767	5172409
30	81607	5183378
31	84409	5191164
32	86995	5185446
33	89501	5175291
34	92325	5183410
35	94682	5165430
36	97328	5163696
37	100109	5168813
38	102811	5169596
39	106008	5194426
40	108374	5178184
41	111268	5187237
42	114105	5193111
43	116613	5183979
44	119025	5170979
45	122003	5182478
46	124671	5180482
47	127887	5200765
48	130726	5205041
49	133200	5194802
50	135427	5175442
51	138144	5175098
52	140442	5159263
53	143047	5155022
54	146099	5166621
55	148790	5165163
56	151428	5161848
57	153751	5148035
58	156797	5158374
59	159468	5156137
60	162211	5156194
61	164584	5144581
62	167139	5138867
63	169397	5124261
64	171949	5118798
65	174895	5124974
66	177311	5115558
67	179877	5110631
68	182507	5107551
69	184926	5098697
70	187482	5093708
71	189997	5087720
72	192482	5080999
73	194870	5071894
74	197644	5072879
75	200238	5069190
76	202682	5061788
77	204970	5050675
78	207541	5046669
79	210372	5048935
80	213023	5046809
81	215720	5045755
82	218101	5037361
83	221223	5046005
84	223913	5044644
85	226253	5035450
86	228729	5029411
87	231474	5029307
88	233985	5024121
89	236478	5018603
90	239082	5015478
91	241418	5006800
92	243955	5002394
93	246862	5005536
94	249313	4999389
95	251858	4995196
96	254461	4992175
97	257025	4988391
98	259698	4986733
99	262350	4984668
100	264697	4976834
101	267388	4975521
102	269706	4967313
103	272149	4961497
104	274583	4955585
105	277018	4949747
106	279649	4947440
107	282162	4943076
108	284414	4934198
109	286602	4924354
110	289424	4925427
111	292040	4922974
112	294572	4919108
113	296881	4911568
114	299330	4906411
115	301932	4903793
116	304481	4900324
117	307063	4897397
118	309548	4892953
119	311850	4885656
120	314331	4881226
121	316794	4876556
122	319254	4871869
123	321661	4866427
124	324379	4865693
125	326839	4861082
126	329372	4857594
127	331691	4850991
128	334534	4852044
129	337056	4848421
130	339816	4848215
131	342512	4847066
132	344894	4841486
133	347224	4835231
134	349270	4825107
135	351660	4819819
136	353929	4812927
137	356519	4810423
138	359132	4808241
139	361615	4804323
140	364426	4804741
141	367038	4802521
142	369618	4799872
143	372262	4798056
144	374675	4793264
145	377065	4788217
146	379442	4783044
147	381710	4776535
148	383940	4769626
149	386357	4765079
150	388800	4760880
151	391585	4760851
152	394466	4761955
153	397449	4764237
154	400147	4763049
155	402303	4755430
156	404869	4752700
157	407200	4747231
158	409688	4743624
159	412291	4741349
160	414700	4736856
161	417262	4734121
162	419730	4730335
163	422471	4729625
164	424840	4724736
